age,sex,income,sib_num,sib_order,family_conflict,family_mental_health,peer_victimization,school_safety,neighborhood_safety,adi,structural_stigma
10.083333333333334,F,4,2,1,1.75,0,9.5,22,4.333333333333333,32,-1.3974755
10.5,M,10,1,1,0.5,0,34,17,4,2,-0.8287912
10.833333333333334,M,6.75,3,1,1.25,0,9,19.5,4.666666666666667,66,0.413664
9.166666666666666,M,6,0,1,1,0,14,20.25,5,37,-1.3770518
9.083333333333334,M,7,3,3,1.5,0,13,20,5,27,-0.12828442
10.083333333333334,M,2.25,0,1,2.5,0,10,19,3.3333333333333335,62,-0.12828442
9.5,F,9,1,1,1,0,10.5,19.75,4.333333333333333,23,-1.1650348
10.833333333333334,F,6.75,2,3,2.5,0,13.5,21.5,4,96,1.0961658
9.916666666666666,F,4.5,0,1,1,0,15.5,17.75,2.6666666666666665,88,-0.6193691
9.333333333333334,M,10,1,1,1,0,11.5,19.75,3,24,-0.6193691
9.583333333333334,M,9,1,1,0,0,11.5,20.5,5,30,-1.3770518
9.083333333333334,M,6.333333333333333,0,1,2.3333333333333335,0,13,15.666666666666666,3.5,52,1.0961658
11,F,9,2,2,0.5,0,17,20.25,4.333333333333333,38,0.3220071
10.25,M,9,4,3,3.5,0,11.5,20.5,4.666666666666667,21,1.0425177
9.5,F,4.333333333333333,2,2,2,0,13,18.5,3,34,-1.3974755
9,F,6,4,5,3.75,0,18.5,20.75,3.3333333333333335,74,1.0961658
10.75,M,9,9,6,4.25,0,15,23.25,5,27,1.0425177
9.25,F,7.5,1,1,0.75,0,10.5,22,4.666666666666667,52,-0.7891287
10.166666666666666,F,9.75,2,1,3,0,10,20.25,5,14,-0.7891287
9.083333333333334,M,7.75,0,1,1.5,0,11.5,18.75,2.3333333333333335,34,1.0517093
9.583333333333334,F,9.75,2,3,0,0,12.5,20,4.666666666666667,45,-1.2795755
9.083333333333334,F,9,1,1,0.5,0,9,22,4.666666666666667,22,-1.3974755
9.666666666666666,M,3.25,0,1,1,0,9,23.5,4.666666666666667,51,-0.6193691
9.75,M,7.75,2,2,2,0,12.5,20.75,4.333333333333333,26,-0.7891287
9.916666666666666,F,9,1,1,1,0,10.5,21.5,4.666666666666667,24,-1.3770518
9.833333333333334,F,9,1,1,0.75,0,16.5,18.25,4,35,-0.3676427
10.166666666666666,M,9.5,2,1,1.25,0,10,17,5,26,-1.1650348
10.833333333333334,F,9,1,1,4.25,0,9.5,20.25,4.333333333333333,9,-0.7891287
9.5,M,5.75,1,1,4.75,0,12,16.75,3.6666666666666665,84,0.18910469
10.666666666666666,F,5.5,1,1,1.25,0,9.5,19.5,4.333333333333333,45,0.3220071
10.5,F,8.75,1,2,3.5,0,13,17.5,3.3333333333333335,48,-0.12828442
9.166666666666666,M,8.75,0,1,1.75,0,10.5,16.25,3.3333333333333335,26,-1.3770518
9.083333333333334,M,9,2,3,0,0,12,20.25,5,25,0.413664
9.583333333333334,F,9,2,3,2.5,0,9,21.5,5,16,0.18910469
10.666666666666666,M,8.75,1,2,0.25,0,11.5,18.75,2.6666666666666665,2,-1.3974755
10.25,M,9,0,1,4.75,0,11.5,18.5,4.333333333333333,40,-1.2795755
9.916666666666666,F,9,0,1,3,0,13.5,21.5,4.666666666666667,27,-1.3770518
10,F,10,1,1,0,0,10,19.25,4.666666666666667,1,-1.3974755
9.083333333333334,F,8.75,1,2,2.25,0,11,21.5,4,11,-1.3974755
9.25,M,9,1,2,0.75,0,10,21.5,4.666666666666667,47,-1.1650348
10.666666666666666,F,9,1,1,0.25,0,22,18.25,4.333333333333333,23,-0.3676427
11,M,10,0,1,0,0,15,21,4.333333333333333,26,-1.3770518
10.833333333333334,M,7.25,0,1,1,0,17,12.5,4,77,-0.03226128
10.833333333333334,F,10,1,1,1.25,0,11.5,21.5,5,1,-1.3974755
10.5,F,8.75,0,1,2.25,1,12.5,15.75,2.6666666666666665,35,-0.6193691
10.5,M,8,1,1,0.25,0,9,20,5,16,-1.3974755
10,F,8.5,0,1,4.75,0,18,14,3.3333333333333335,22,-1.1650348
10.25,M,9,2,2,3.75,0,9.5,20.25,4,56,0.3220071
10.25,M,7,1,2,3.5,0,14,19.5,5,86,-0.03226128
10.25,F,5.75,1,2,2,0,18,18,3.6666666666666665,54,-1.3974755
9.25,F,9.25,5,6,4.5,0,9,21.25,4.333333333333333,22,1.0425177
11,M,7,0,1,4,0,14,14.25,3,75,-0.16266835
10.666666666666666,F,9,3,3,4.5,0,9,19.5,5,39,0.413664
