AID,age,race,sex,income,mom_ed,dad_ed,school_safe,neigh_safety,CLUSTER2,GSWGT1
57100270,17,black,F,55,8,8,NA,1,178,447.8733
57101310,17,black,F,NA,1,7,4,1,108,2527.2363
57103171,15,white,M,45,4,2,2,1,115,3400.5216
57103869,NA,black,M,9,2,NA,4,1,167,5821.8441
57104553,18,black,F,2,4,NA,2,0,142,2814.75
57104649,12,black,M,70,9,4,1,1,278,571.0692
57104676,12,black,M,50,NA,NA,5,1,278,1928.2725
57109625,13,white,M,7,1,NA,2,1,224,6268.1348
57110897,13,black,M,10,4,NA,2,1,256,2464.2821
57111071,13,white,M,45,8,NA,3,1,185,3048.3509
57111786,14,black,M,32,4,NA,4,1,154,2927.6911
57113943,15,black,M,12,7,NA,2,1,167,6146.0697
57116359,14,white,M,49,4,6,2,1,136,2268.431
57117542,NA,white,M,24,5,NA,1,1,151,5714.6766
57117997,12,black,F,40,7,NA,2,1,278,684.7893
57118381,12,white,F,22,8,4,2,1,294,5576.5487
57118943,15,white,F,110,9,8,2,1,187,3684.5676
57120005,12,white,M,75,8,8,2,1,274,4469.2238
57120046,17,latinx,M,NA,NA,NA,2,1,111,1045.1555
57120371,18,white,F,NA,4,4,2,1,161,5809.0581
57121404,15,white,F,100,9,9,3,1,187,3684.5676
57121476,14,latinx,F,9,4,NA,2,1,286,4365.64
57123494,NA,white,F,72,4,NA,1,1,141,1559.6489
57127241,12,asian,F,20,2,2,3,1,179,2059.816
57129567,13,black,M,27,8,NA,3,0,228,436.3325
57130633,14,white,M,NA,7,NA,4,1,254,5113.736
57130838,15,black,M,NA,NA,NA,3,0,140,3949.3209
57131432,15,latinx,M,2,1,1,2,0,145,3846.4617
57131909,13,white,M,12,4,NA,2,1,108,2979.5777
57133772,12,white,F,100,4,7,3,1,248,4389.3667
57134457,14,white,F,75,8,7,4,1,240,3101.2313
57134967,12,black,F,20,NA,NA,5,1,267,2937.0306
57134970,NA,black,F,NA,2,NA,2,1,253,3410.2648
57135078,14,white,F,27,NA,4,2,1,109,2000.4184
57136630,14,asian,F,26,8,4,2,1,179,1666.9446
57138056,13,white,M,50,NA,7,4,1,240,4519.5504
57139880,13,white,M,100,9,9,2,1,228,4094.3382
57141051,14,white,M,35,8,8,4,0,172,4704.4056
57141800,12,latinx,F,20,1,1,4,1,278,3664.0657
57141919,12,latinx,F,NA,6,8,2,1,278,3664.0657
57144659,16,black,M,10,2,NA,2,1,165,3195.6042
57145151,14,asian,F,70,8,8,2,1,129,1096.1099
57145199,NA,white,M,30,2,2,3,1,265,18383.2897
57145731,18,black,M,NA,8,NA,4,1,153,2572.869
57146734,19,latinx,M,58,9,9,1,1,271,4096.1305
57153160,NA,latinx,M,10,4,NA,2,1,161,7692.342
57154247,16,white,M,20,4,4,3,1,141,1617.6259
57154249,18,white,F,NA,NA,NA,NA,1,141,1743.0662
57154779,13,white,F,14,NA,NA,2,1,267,2937.0306
57155472,NA,white,M,18,2,2,2,1,109,2699.0522
57157723,13,white,M,43,2,NA,3,1,243,5230.3075
57159779,12,asian,M,36,NA,NA,2,1,278,4498.5821
57159952,15,white,F,140,9,8,2,1,187,3684.5676
57160648,16,white,M,20,7,2,2,1,168,4308.6733
57163116,16,white,M,30,4,NA,2,1,108,2375.166
57163657,13,white,F,90,8,9,2,1,250,5340.1367
57164981,13,asian,M,50,NA,NA,2,1,179,1775.1342
57165081,15,asian,M,NA,5,2,1,1,179,1962.6855
57165288,NA,white,F,NA,NA,NA,2,1,194,4937.6808
57165348,17,black,M,40,7,4,1,1,187,5444.8398
57166019,14,white,M,NA,NA,NA,5,1,210,12009.6008
57166450,14,black,M,NA,8,7,2,1,278,870.0272
57166463,12,black,M,45,4,NA,2,1,278,571.0692
57167951,13,white,M,25,8,8,1,1,114,4002.1588
57169110,19,white,M,14,2,2,2,1,108,2139.8746
57171515,13,black,F,NA,NA,NA,1,0,240,2225.8355
57177419,14,white,M,65,4,8,2,1,240,4519.5504
57177942,16,white,M,51,4,5,1,1,189,1991.9338
57178110,13,white,M,32,NA,NA,2,1,108,2979.5777
57178982,14,black,M,NA,NA,NA,2,1,287,815.5152
57179591,13,white,F,25,4,4,3,1,189,2196.1193
57185559,NA,white,M,NA,2,2,1,1,154,5625.2293
57186150,15,white,F,108,9,9,3,1,187,3684.5676
57186582,16,white,M,70,4,2,3,1,141,1635.1081
57188247,12,black,F,12,4,NA,2,1,251,1044.7609
57188313,14,white,M,65,4,4,2,1,136,2063.1599
57191424,13,white,M,NA,2,NA,2,1,248,4400.12
57191909,17,white,F,11,2,1,2,1,108,3388.2157
57191910,13,white,F,16,6,7,2,1,108,3417.3689
57192841,14,white,F,53,9,9,2,1,187,4163.6052
57193349,16,black,M,NA,4,NA,4,1,142,2768.5031
57194529,15,white,F,100,8,9,2,1,187,4163.6052
57196641,16,white,M,4,2,NA,2,1,145,3354.0123
57197327,19,white,M,18,2,2,2,1,168,4308.6733
57198440,17,black,M,45,9,NA,3,1,143,1112.446
