age,educ,black,hisp,married,nodegr,re74,re75,re78,u74,u75,treat,race,w1,w0,w_rmpw
37,11,1,0,1,1,0,0,9930.05,1,1,1,not_white,1.5959598462678457,0.6035387374882706,1.5959598462678457
22,9,0,1,0,1,0,0,3595.89,1,1,1,not_white,0.9011825681759469,1.0629793196471637,0.9011825681759469
30,12,1,0,0,0,0,0,24909.5,1,1,1,not_white,0.7434395354914283,1.3224768974037917,0.7434395354914283
27,11,1,0,0,1,0,0,7506.15,1,1,1,not_white,1.1017985417811877,0.9442554368496975,1.1017985417811877
33,8,1,0,0,1,0,0,289.79,1,1,1,not_white,1.0350279381791407,0.9742375840666629,1.0350279381791407
22,9,1,0,0,1,0,0,4056.49,1,1,1,not_white,0.9011825681759469,1.0629793196471637,0.9011825681759469
23,12,1,0,0,0,0,0,0,1,1,1,not_white,0.6537855855020109,1.4202273344472993,0.6537855855020109
32,11,1,0,0,1,0,0,8472.16,1,1,1,not_white,1.1970007957552735,0.8893976245376832,1.1970007957552735
22,16,1,0,0,0,0,0,2164.02,1,1,1,not_white,0.7643528397329813,1.1998740193152684,0.7643528397329813
33,12,0,0,1,0,0,0,12418.1,1,1,1,white,1.0170324608100416,0.974884643221286,1.0170324608100416
19,9,1,0,0,1,0,0,8173.91,1,1,1,not_white,0.8510079816550699,1.0935461883877653,0.8510079816550699
21,13,1,0,0,0,0,0,17094.6,1,1,1,not_white,0.655143480562973,1.3793795429289557,0.655143480562973
18,8,1,0,0,1,0,0,0,1,1,1,not_white,0.7910731268081567,1.1425803818331703,0.7910731268081567
27,10,1,0,1,1,0,0,18739.9,1,1,1,not_white,1.3629863607879733,0.7490584847674555,1.3629863607879733
17,7,1,0,0,1,0,0,3023.88,1,1,1,not_white,0.7364115329574752,1.195521377746879,0.7364115329574752
19,10,1,0,0,1,0,0,3228.5,1,1,1,not_white,0.8992965175259701,1.0578812769566073,0.8992965175259701
27,13,1,0,0,0,0,0,14581.9,1,1,1,not_white,0.7337847290929862,1.3017665170483663,0.7337847290929862
23,10,1,0,0,1,0,0,7693.4,1,1,1,not_white,0.9697936964543864,1.0177116739427,0.9697936964543864
40,12,1,0,0,0,0,0,10804.3,1,1,1,not_white,0.8731841959332896,1.1675534145599105,0.8731841959332896
26,12,1,0,0,0,0,0,10747.4,1,1,1,not_white,0.6918807324509973,1.379628945441837,0.6918807324509973
23,11,1,0,0,1,0,0,0,1,1,1,not_white,1.0262621667522378,0.9859031167744053,1.0262621667522378
41,14,0,0,0,0,0,0,5149.5,1,1,1,white,0.9595705599975627,1.044988941436611,0.9595705599975627
38,9,0,0,0,1,0,0,6408.95,1,1,1,white,1.1759724517962313,0.8785261673518586,1.1759724517962313
24,11,1,0,0,1,0,0,1991.4,1,1,1,not_white,1.0450488864845082,0.9756979051726818,1.0450488864845082
18,10,1,0,0,1,0,0,11163.2,1,1,1,not_white,0.881947732887109,1.0675150888183973,0.881947732887109
29,11,1,0,1,1,0,0,9643,1,1,1,not_white,1.4709428448003254,0.6989662841210157,1.4709428448003254
25,11,1,0,0,1,0,0,9897.05,1,1,1,not_white,1.0639078139067724,0.9653517969828354,1.0639078139067724
27,10,0,1,0,1,0,0,11142.9,1,1,1,not_white,1.041597718009899,0.9751171601377695,1.041597718009899
17,10,1,0,0,1,0,0,16218,1,1,1,not_white,0.8647266754590012,1.0769788771765807,0.8647266754590012
24,11,1,0,0,1,0,0,995.7,1,1,1,not_white,1.0450488864845082,0.9756979051726818,1.0450488864845082
17,10,1,0,0,1,0,0,0,1,1,1,not_white,0.8647266754590012,1.0769788771765807,0.8647266754590012
48,4,1,0,0,1,0,0,6551.59,1,1,1,not_white,1.0632138302962875,0.9286541727195081,1.0632138302962875
25,11,1,0,1,1,0,0,1574.42,1,1,1,not_white,1.4031439746474512,0.7473968872076852,1.4031439746474512
20,12,1,0,0,0,0,0,0,1,1,1,not_white,0.6163863235834351,1.4587033649647305,0.6163863235834351
25,12,1,0,0,0,0,0,3191.75,1,1,1,not_white,0.6791159764698207,1.3933883128550368,0.6791159764698207
42,14,1,0,0,0,0,0,20505.9,1,1,1,not_white,0.9731842294795531,1.029989238086591,0.9731842294795531
25,5,1,0,0,1,0,0,6181.88,1,1,1,not_white,0.7800556423109203,1.2026079352421877,0.7800556423109203
23,12,1,0,1,0,0,0,5911.55,1,1,1,not_white,0.8972246738524454,1.1441716230701704,0.8972246738524454
46,8,1,0,1,1,0,0,3094.16,1,1,1,not_white,1.4803039862149228,0.5643754832282694,1.4803039862149228
24,10,1,0,0,1,0,0,0,1,1,1,not_white,0.9876470032299526,1.0072794984362936,0.9876470032299526
21,12,1,0,0,0,0,0,1254.58,1,1,1,not_white,0.6287648161723781,1.4461224481055528,0.6287648161723781
19,9,0,0,0,1,0,0,13188.8,1,1,1,white,0.8510079816550699,1.0935461883877653,0.8510079816550699
17,8,1,0,0,1,0,0,8061.49,1,1,1,not_white,0.7754648514442676,1.1524694032825584,0.7754648514442676
18,8,0,1,1,1,0,0,2787.96,1,1,1,not_white,1.0929452310745285,0.9266931849027767,1.0929452310745285
20,11,1,0,0,1,0,0,3972.54,1,1,1,not_white,0.970440015857196,1.015631312138621,0.970440015857196
25,11,1,0,1,1,0,0,0,1,1,1,not_white,1.4031439746474512,0.7473968872076852,1.4031439746474512
17,8,1,0,0,1,0,0,0,1,1,1,not_white,0.7754648514442676,1.1524694032825584,0.7754648514442676
17,9,1,0,0,1,0,0,0,1,1,1,not_white,0.8181254968792953,1.1130578460242178,0.8181254968792953
25,5,1,0,0,1,0,0,12187.4,1,1,1,not_white,0.7800556423109203,1.2026079352421877,0.7800556423109203
23,12,1,0,0,0,0,0,4843.18,1,1,1,not_white,0.6537855855020109,1.4202273344472993,0.6537855855020109
28,8,1,0,0,1,0,0,0,1,1,1,not_white,0.9524845263301531,1.0340856485138772,0.9524845263301531
31,11,1,0,1,1,0,0,8087.49,1,1,1,not_white,1.5036240736704296,0.6748471057922937,1.5036240736704296
18,11,1,0,0,1,0,0,0,1,1,1,not_white,0.9337731926126636,1.0346729547059859,0.9337731926126636
25,12,1,0,0,0,0,0,2348.97,1,1,1,not_white,0.6791159764698207,1.3933883128550368,0.6791159764698207
30,11,1,0,1,1,0,0,590.782,1,1,1,not_white,1.4873927598538486,0.6868927577873716,1.4873927598538486
17,10,1,0,0,1,0,0,0,1,1,1,not_white,0.8647266754590012,1.0769788771765807,0.8647266754590012
